policy_id,policy_name,category,start_date,end_date,admin,notes,source
ADMIN_OBAMA,Administration: Barack Obama,administration,1/1/2015,1/19/2017,Obama,Covers project window start through end of Obama term (inauguration transition).,https://www.whitehouse.gov/
ADMIN_TRUMP_1,Administration: Donald Trump (1st term),administration,1/20/2017,1/19/2021,Trump,First Trump administration term.,https://www.whitehouse.gov/
ADMIN_BIDEN,Administration: Joe Biden,administration,1/20/2021,1/19/2025,Biden,"Biden administration term (through Jan 19, 2025).",https://www.whitehouse.gov/
ADMIN_TRUMP_2,Administration: Donald Trump (2nd term),administration,1/20/2025,12/31/2025,Trump,Second Trump administration period within the project window.,https://www.whitehouse.gov/
NE_BORDER_2019,National Emergency Concerning the Southern Border (Proclamation 9844),national_emergency,2/15/2019,2/11/2021,Trump/Biden,"Declared Feb 15, 2019; ended by Biden (ended Feb 11, 2021 per reporting).",https://time.com/5938570/border-emergency-military/
PHE_COVID,COVID-19 Public Health Emergency (HHS),public_health_emergency,1/31/2020,5/11/2023,Trump/Biden,"Federal COVID-19 PHE declared Jan 31, 2020; expired May 11, 2023.",https://www.hhs.gov/coronavirus/covid-19-public-health-emergency/index.html
TITLE42_MAIN,Title 42 border expulsions regime (CDC orders under 42 U.S.C. 265),border_enforcement_public_health,3/20/2020,5/11/2023,Trump/Biden,"Initial CDC order issued March 20, 2020; Title 42 ended May 11, 2023 alongside PHE expiration.",https://www.cdc.gov/port-health/legal-authorities/archived-orders.html
TITLE42_ATTEMPT_END_2022,CDC announced planned termination of Title 42 (later blocked),border_enforcement_public_health,4/1/2022,5/23/2022,Biden,"CDC released determination/order to terminate Title 42 on May 23, 2022; implementation was blocked by litigation.",https://www.dhs.gov/archive/news/2022/04/01/statement-secretary-mayorkas-cdcs-title-42-order-termination
TITLE42_UAC_EXEMPT_2021,Title 42 order updated to exempt unaccompanied children (UAC) (event marker),border_enforcement_public_health,8/2/2021,5/11/2023,Biden,CDC replaced an October 2020 order with a new order continuing Title 42 while exempting unaccompanied children (UAC) per secondary summaries.,https://www.americanimmigrationcouncil.org/fact-sheet/guide-title-42-expulsions-border/
CLP_RULE_2023,Circumvention of Lawful Pathways (CLP) Final Rule (asylum processing),asylum_processing,5/11/2023,5/11/2025,Biden,"Final rule effective May 11, 2023; some summaries describe applicability through May 11, 2025.",https://www.federalregister.gov/documents/2023/05/16/2023-10146/circumvention-of-lawful-pathways
MPP_1,Migrant Protection Protocols (MPP 1.0 / 'Remain in Mexico'),asylum_processing,1/1/2019,1/20/2021,Trump/Biden,Went into effect in January 2019; suspended after Biden took office.,https://www.americanimmigrationcouncil.org/fact-sheet/migrant-protection-protocols/
MPP_2,Migrant Protection Protocols reinstatement (MPP 2.0) (returns to Mexico),asylum_processing,12/1/2021,10/31/2022,Biden,Returned people to Mexico from Dec 2021 to Aug 2022; program formally ended again in Oct 2022.,https://www.americanimmigrationcouncil.org/fact-sheet/migrant-protection-protocols/
MPP_3_2025,Migrant Protection Protocols reimplemented (2025) (event marker),asylum_processing,1/21/2025,12/31/2025,Trump,DHS announced MPP would be put back into effect in 2025 (details may evolve).,https://www.dhs.gov/news/2025/01/21/dhs-reinstates-migrant-protection-protocols
MAYORKAS_PRIORITIES_2021,"DHS immigration enforcement priorities (Mayorkas guidelines effective Nov 29, 2021)",removal_priorities,11/29/2021,12/31/2025,Biden,"Guidelines announced Sep 30, 2021; became effective Nov 29, 2021.",https://www.dhs.gov/archive/news/2021/09/30/secretary-mayorkas-announces-new-immigration-enforcement-priorities
